Sample material properties:
 material_id  transition_metal_content  rare_earth_content  carbon_content  main_group_content  alkali_metal_content  halogen_content  post_transition_metal_content  s_electron_count  p_electron_count  d_electron_count  f_electron_count  total_valence_electrons crystalline_symmetry  spin_orbit_coupling  magnetic_anisotropy  electron_phonon_coupling  thermal_stability  chemical_stability  synthesis_difficulty  cost_factor
      1               0.182009               0.187215          0.080574          0.181785             0.094359           0.227803                0.046255                 0.382017          4.332098          1.243588          8.807594            14.765297             orthorhombic           0.796624            -0.136833                0.320380             424.093294           0.745640             0.703379         4.540664  
      2               0.212398               0.247172          0.094446          0.100627             0.212360           0.077579                0.055419                 0.345196          4.821451          8.788949         10.605542            24.561138               tetragonal           0.632664             0.586545                0.373500             211.434117           0.172751             0.284681         2.610026  
      3               0.130856               0.217703          0.194632          0.102364             0.145177           0.099123                0.110146                 1.341646          4.057191          7.364386          0.959896            13.723119                 trigonal           0.161463            -0.827607                0.286231             738.160191           0.166239             0.026838         2.447687  
      4               0.295853               0.100697          0.111987          0.088258             0.217167           0.072484                0.113554                 0.493630          3.424834          6.966871         10.860232            21.745567             orthorhombic           1.824685            -0.095558                0.934012             625.519320           0.238310             0.212783         8.618326  
      5               0.164448               0.259454          0.237523          0.045747             0.016088           0.073029                0.203710                 1.710903          1.982726          4.957238          0.443758             9.094624                hexagonal           0.207168            -0.387624                0.060813             611.045354           0.619318             0.213850         4.972308  
      6               0.152053               0.203893          0.110260          0.076696             0.035736           0.271938                0.149424                 1.887079          3.336971          2.616910          3.986486            11.827446                 trigonal           1.340473             0.680415                0.507475             355.720407           0.122598             0.799045         2.620844  
      7               0.176909               0.171708          0.086810          0.183219             0.019292           0.180467                0.181594                 0.439291          2.943288          1.102813         10.020140            14.505532                hexagonal           1.920647            -0.567225                0.591364             755.406171           0.461779             0.357211         7.970857  
      8               0.032373               0.107524          0.345306          0.155960             0.010501           0.073265                0.275071                 0.537087          3.140453          1.410842         10.376010            15.464392                 trigonal           1.262820             0.794503                0.415092             130.080062           0.290428             0.260832         2.257667  
      9               0.135709               0.232170          0.200780          0.178187             0.029104           0.210791                0.013258                 1.828955          5.132220          0.200098          4.254788            11.416062               monoclinic           0.901179             0.639580                0.068439             760.814196           0.239026             0.101606         2.687631  
     10               0.143164               0.231650          0.038963          0.191360             0.041043           0.135628                0.218192                 1.379348          5.536287          7.241632         11.006827            25.164094                 trigonal           1.755506            -0.365791                0.502321             105.809294           0.065329             0.951789         4.398656  
