Sample material properties:
 material_id  transition_metal_content  rare_earth_content  carbon_content  main_group_content  alkali_metal_content  halogen_content  post_transition_metal_content  s_electron_count  p_electron_count  d_electron_count  f_electron_count  total_valence_electrons crystalline_symmetry  spin_orbit_coupling  magnetic_anisotropy  electron_phonon_coupling  thermal_stability  chemical_stability  synthesis_difficulty  cost_factor
      1               0.125309               0.262298          0.090433          0.131203             0.232441           0.141742                0.016572                 1.556076          1.891854          7.700815          1.362501            12.511246                hexagonal           1.547025             0.456806                0.927132             121.026450           0.469183             0.137402         4.892959  
      2               0.267755               0.135797          0.190283          0.033876             0.067965           0.176335                0.127990                 1.611706          4.830393          5.553005         10.860333            22.855437               tetragonal           0.886061            -0.042998                0.111339             720.846917           0.804309             0.576678         1.115606  
      3               0.148635               0.131914          0.178711          0.199121             0.019663           0.162484                0.159473                 1.173210          1.876459          3.752873          8.763715            15.566257                hexagonal           1.565418             0.515411                0.285877             783.066772           0.622851             0.285991         2.210867  
      4               0.055680               0.107953          0.084699          0.227002             0.066506           0.215581                0.242580                 0.291359          5.009213          6.750149          2.186383            14.237104               tetragonal           1.865845            -0.659478                0.695932             628.559654           0.657696             0.871240         4.259715  
      5               0.013736               0.245670          0.063793          0.218197             0.152776           0.097383                0.208444                 0.457313          0.679793          9.806624         12.603419            23.547150                    cubic           0.200296            -0.599599                0.101456             714.140233           0.152218             0.597615         7.776468  
      6               0.104948               0.255755          0.054282          0.252569             0.160349           0.028114                0.143982                 1.773586          3.703546          7.109286          0.241965            12.828383                hexagonal           1.123268             0.916742                0.381458             207.662468           0.718897             0.769526         0.151390  
      7               0.134106               0.137320          0.117387          0.249653             0.053481           0.051953                0.256100                 1.316211          0.267270          6.260689          8.632761            16.476931                hexagonal           1.026151             0.661542                0.340445             530.244416           0.014142             0.880482         9.123815  
      8               0.144919               0.032901          0.223991          0.042410             0.195260           0.248740                0.111779                 1.207905          2.897661          9.575711          5.881334            19.562611               monoclinic           0.347266            -0.285700                0.128067             463.203887           0.675644             0.687613         0.811009  
      9               0.002344               0.306296          0.079512          0.061542             0.285271           0.119165                0.145871                 0.627005          2.357179          3.514383          3.061621             9.560189               tetragonal           0.185422             0.707988                0.112354             666.757110           0.706482             0.917085         1.427449  
     10               0.164362               0.204483          0.108057          0.060060             0.045001           0.212620                0.205415                 0.525162          3.738450          1.257131          0.797758             6.318501                 trigonal           0.756419            -0.208312                0.388295             135.345896           0.649005             0.009424         2.212019  
     11               0.271247               0.049071          0.112661          0.048136             0.273763           0.230249                0.014873                 1.713815          3.986336          1.948625         10.452131            18.100906               monoclinic           1.598965            -0.860155                0.630860             750.427794           0.103464             0.875847         2.380122  
     12               0.104859               0.191959          0.009951          0.207311             0.365459           0.027932                0.092530                 0.731207          0.042576          2.245852          6.775550             9.795184               monoclinic           1.096932             0.904268                0.158377             296.590201           0.771435             0.570107         3.553556  
     13               0.072468               0.191202          0.156516          0.098907             0.185281           0.164497                0.131129                 0.295946          0.342638          2.032912          3.792913             6.464408                hexagonal           1.486847             0.844217                0.138463             659.902545           0.847684             0.648545         3.362825  
     14               0.162006               0.192966          0.109067          0.199483             0.175821           0.065840                0.094817                 1.110310          0.916537          4.012286          8.361315            14.400448                hexagonal           0.484355             0.664838                0.380593             559.286666           0.495822             0.428908         5.197944  
     15               0.178513               0.219814          0.116698          0.194824             0.041366           0.088471                0.160314                 1.582652          3.974426          0.792009         10.501537            16.850623               monoclinic           1.861767            -0.878499                0.484994             790.244828           0.291380             0.942172         6.945022  
     16               0.204901               0.218563          0.013364          0.203035             0.038515           0.107820                0.213802                 1.300212          3.661147          8.624209          8.699163            22.284732                    cubic           0.582626            -0.705727                0.377102             295.283083           0.793566             0.899343         6.190849  
     17               0.102721               0.170112          0.162288          0.026205             0.239995           0.047528                0.251150                 1.480835          4.543020          5.742004          3.465260            15.231120                hexagonal           0.410697            -0.543244                0.764336             262.799385           0.965238             0.073761         3.750816  
     18               0.128330               0.053990          0.118750          0.147641             0.148035           0.198398                0.204857                 0.583249          0.026408          2.911617          5.387570             8.908843             orthorhombic           0.880412             0.213714                0.549710             492.803991           0.135500             0.901389         4.161893  
     19               0.008092               0.142938          0.286789          0.121668             0.042570           0.374318                0.023625                 1.672624          2.661506          4.402809          2.051092            10.788031             orthorhombic           0.707896            -0.176593                0.184895             528.566683           0.676444             0.036530         4.803563  
     20               0.122259               0.061242          0.205535          0.200171             0.148161           0.156894                0.105738                 1.906752          3.124633          1.853191         13.621225            20.505800               monoclinic           1.069229             0.845971                0.085249              81.871941           0.618858             0.553192         0.758251  
