Sample material properties:
 material_id  transition_metal_content  rare_earth_content  carbon_content  main_group_content  alkali_metal_content  halogen_content  post_transition_metal_content  s_electron_count  p_electron_count  d_electron_count  f_electron_count  total_valence_electrons crystalline_symmetry  spin_orbit_coupling  magnetic_anisotropy  electron_phonon_coupling  thermal_stability  chemical_stability  synthesis_difficulty  cost_factor
      1               0.160767               0.034776          0.072395          0.281719             0.183453           0.239264                0.027626                 0.681165          5.999512          1.937691         12.802013            21.420381               tetragonal           0.513620            -0.409969                0.547784             623.905311           0.292017             0.327762         1.618959  
      2               0.282903               0.036688          0.245265          0.280074             0.004359           0.044907                0.105805                 0.055841          2.498713          0.801746          3.376273             6.732573                 trigonal           1.102321            -0.603778                0.979390             532.088092           0.149080             0.628943         2.806734  
      3               0.178385               0.185188          0.102016          0.091744             0.007320           0.214469                0.220878                 0.086129          4.742966          5.390678         12.622771            22.842545                    cubic           0.524807             0.254128                0.156522             404.828899           0.404220             0.832704         9.655932  
      4               0.063694               0.246108          0.187050          0.031316             0.194555           0.119632                0.157645                 0.129089          1.087194          8.368428          7.382629            16.967340                triclinic           0.707037             0.717351                0.511288             736.412505           0.523935             0.870634         0.300398  
      5               0.227139               0.252940          0.066507          0.099871             0.073600           0.034296                0.245647                 0.305124          0.186778          8.633587         12.909840            22.035329                triclinic           0.590834             0.046575                0.576087             357.174795           0.893338             0.705951         4.518840  
      6               0.295571               0.258841          0.075161          0.063200             0.049820           0.184645                0.072762                 0.177913          0.905403          6.527841          8.662309            16.273466                    cubic           1.979864            -0.013939                0.035124             420.568495           0.279114             0.828494         2.373904  
      7               0.072779               0.051860          0.149232          0.191387             0.270594           0.231798                0.032349                 1.872468          3.294898          0.076958          8.034267            13.278591                 trigonal           0.774212             0.127094                0.480896             508.476047           0.090926             0.754350         6.735877  
      8               0.130898               0.260560          0.103233          0.135200             0.062594           0.168117                0.139398                 1.736429          5.288985          4.944550          0.370784            12.340749                    cubic           1.280944            -0.473977                0.645314             511.199853           0.853221             0.966276         0.510829  
      9               0.046267               0.095322          0.151340          0.247559             0.075401           0.245882                0.138229                 1.762491          2.444247          2.619806         12.182146            19.008691               tetragonal           0.085110             0.540729                0.971045             346.502629           0.803502             0.123811         8.532186  
     10               0.170215               0.090502          0.214563          0.153187             0.108565           0.196585                0.066383                 1.498052          1.360056          5.504799         11.786988            20.149896               tetragonal           0.123049            -0.121250                0.613947              78.137346           0.730543             0.139419         6.631752  
     11               0.265026               0.238492          0.036181          0.126043             0.001353           0.289886                0.043019                 0.314823          1.786511          6.641952          5.975162            14.718448                hexagonal           1.695923             0.444075                0.408076             716.403618           0.077919             0.405859         9.652398  
     12               0.189099               0.015287          0.155006          0.141257             0.199494           0.072233                0.227625                 0.772693          2.109713          9.984680         13.827215            26.694301                 trigonal           1.109775             0.837570                0.941330             409.701288           0.151285             0.228719         7.952907  
     13               0.230996               0.095674          0.055157          0.130219             0.256447           0.025161                0.206346                 0.155280          4.697291          5.281421         13.717911            23.851903                triclinic           1.901166             0.056493                0.437589             134.563128           0.339875             0.955940         3.716656  
     14               0.179940               0.201187          0.139670          0.152400             0.193129           0.100842                0.032831                 0.967939          1.870503          2.728506          0.676651             6.243599               monoclinic           1.337748            -0.074491                0.019677             673.445637           0.739123             0.481032         2.210700  
